INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY200 MOMENTUM 30,,,2614.2085,,,,2009-12-24
NIFTY200 MOMENTUM 30,,,2613.4418,,,,2009-12-29
NIFTY200 MOMENTUM 30,,,2612.5325,,,,2009-12-30
NIFTY200 MOMENTUM 30,,,2630.0632,,,,2009-12-31
NIFTY200 MOMENTUM 30,,,2661.6781,,,,2010-01-04
NIFTY200 MOMENTUM 30,,,2682.396,,,,2010-01-05
NIFTY200 MOMENTUM 30,,,2681.9349,,,,2010-01-06
NIFTY200 MOMENTUM 30,,,2662.7683,,,,2010-01-07
NIFTY200 MOMENTUM 30,,,2658.2467,,,,2010-01-08
NIFTY200 MOMENTUM 30,,,2683.4602,,,,2010-01-11
NIFTY200 MOMENTUM 30,,,2684.7345,,,,2010-01-12
NIFTY200 MOMENTUM 30,,,2706.7085,,,,2010-01-13
NIFTY200 MOMENTUM 30,,,2729.0337,,,,2010-01-14
NIFTY200 MOMENTUM 30,,,2733.0603,,,,2010-01-15
NIFTY200 MOMENTUM 30,,,2739.9456,,,,2010-01-18
NIFTY200 MOMENTUM 30,,,2714.9119,,,,2010-01-19
NIFTY200 MOMENTUM 30,,,2711.0291,,,,2010-01-20
NIFTY200 MOMENTUM 30,,,2670.5797,,,,2010-01-21
NIFTY200 MOMENTUM 30,,,2649.5383,,,,2010-01-22
NIFTY200 MOMENTUM 30,,,2606.4149,,,,2010-01-25
NIFTY200 MOMENTUM 30,,,2481.0874,,,,2010-01-27
NIFTY200 MOMENTUM 30,,,2498.7158,,,,2010-01-28
NIFTY200 MOMENTUM 30,,,2502.3895,,,,2010-01-29
NIFTY200 MOMENTUM 30,,,2555.5194,,,,2010-02-01
NIFTY200 MOMENTUM 30,,,2518.1466,,,,2010-02-02
NIFTY200 MOMENTUM 30,,,2563.4714,,,,2010-02-03
NIFTY200 MOMENTUM 30,,,2519.568,,,,2010-02-04
NIFTY200 MOMENTUM 30,,,2470.611,,,,2010-02-05
NIFTY200 MOMENTUM 30,,,2492.7881,,,,2010-02-06
NIFTY200 MOMENTUM 30,,,2480.6847,,,,2010-02-08
NIFTY200 MOMENTUM 30,,,2499.9647,,,,2010-02-09
NIFTY200 MOMENTUM 30,,,2491.8629,,,,2010-02-10
NIFTY200 MOMENTUM 30,,,2512.2998,,,,2010-02-11
NIFTY200 MOMENTUM 30,,,2513.0689,,,,2010-02-15
NIFTY200 MOMENTUM 30,,,2533.0728,,,,2010-02-16
NIFTY200 MOMENTUM 30,,,2546.4476,,,,2010-02-17
NIFTY200 MOMENTUM 30,,,2527.4352,,,,2010-02-18
NIFTY200 MOMENTUM 30,,,2508.727,,,,2010-02-19
NIFTY200 MOMENTUM 30,,,2507.4398,,,,2010-02-22
NIFTY200 MOMENTUM 30,,,2492.9015,,,,2010-02-23
NIFTY200 MOMENTUM 30,,,2503.1167,,,,2010-02-24
NIFTY200 MOMENTUM 30,,,2483.1477,,,,2010-02-25
NIFTY200 MOMENTUM 30,,,2526.867,,,,2010-02-26
NIFTY200 MOMENTUM 30,,,2553.5035,,,,2010-03-02
NIFTY200 MOMENTUM 30,,,2592.4288,,,,2010-03-03
NIFTY200 MOMENTUM 30,,,2602.9496,,,,2010-03-04
NIFTY200 MOMENTUM 30,,,2616.1783,,,,2010-03-05
NIFTY200 MOMENTUM 30,,,2642.186,,,,2010-03-08
NIFTY200 MOMENTUM 30,,,2629.1786,,,,2010-03-09
NIFTY200 MOMENTUM 30,,,2614.0531,,,,2010-03-10
NIFTY200 MOMENTUM 30,,,2614.7956,,,,2010-03-11
NIFTY200 MOMENTUM 30,,,2625.3633,,,,2010-03-12
NIFTY200 MOMENTUM 30,,,2611.6432,,,,2010-03-15
NIFTY200 MOMENTUM 30,,,2629.6636,,,,2010-03-16
NIFTY200 MOMENTUM 30,,,2639.8487,,,,2010-03-17
NIFTY200 MOMENTUM 30,,,2642.2481,,,,2010-03-18
NIFTY200 MOMENTUM 30,,,2650.1379,,,,2010-03-19
NIFTY200 MOMENTUM 30,,,2635.5693,,,,2010-03-22
NIFTY200 MOMENTUM 30,,,2638.5831,,,,2010-03-23
NIFTY200 MOMENTUM 30,,,2651.6147,,,,2010-03-25
NIFTY200 MOMENTUM 30,,,2671.2951,,,,2010-03-26
NIFTY200 MOMENTUM 30,,,2683.0439,,,,2010-03-29
NIFTY200 MOMENTUM 30,,,2658.1171,,,,2010-03-30
NIFTY200 MOMENTUM 30,,,2655.1636,,,,2010-03-31
NIFTY200 MOMENTUM 30,,,2673.1014,,,,2010-04-01
NIFTY200 MOMENTUM 30,,,2708.8665,,,,2010-04-05
NIFTY200 MOMENTUM 30,,,2707.2666,,,,2010-04-06
NIFTY200 MOMENTUM 30,,,2708.5635,,,,2010-04-07
NIFTY200 MOMENTUM 30,,,2688.6455,,,,2010-04-08
NIFTY200 MOMENTUM 30,,,2696.1161,,,,2010-04-09
NIFTY200 MOMENTUM 30,,,2678.5344,,,,2010-04-12
NIFTY200 MOMENTUM 30,,,2680.421,,,,2010-04-13
NIFTY200 MOMENTUM 30,,,2678.7459,,,,2010-04-15
NIFTY200 MOMENTUM 30,,,2675.2532,,,,2010-04-16
NIFTY200 MOMENTUM 30,,,2646.8631,,,,2010-04-19
NIFTY200 MOMENTUM 30,,,2666.0324,,,,2010-04-20
NIFTY200 MOMENTUM 30,,,2684.1624,,,,2010-04-21
NIFTY200 MOMENTUM 30,,,2694.2572,,,,2010-04-22
NIFTY200 MOMENTUM 30,,,2695.259,,,,2010-04-23
NIFTY200 MOMENTUM 30,,,2715.9358,,,,2010-04-26
NIFTY200 MOMENTUM 30,,,2713.0129,,,,2010-04-27
NIFTY200 MOMENTUM 30,,,2683.7639,,,,2010-04-28
NIFTY200 MOMENTUM 30,,,2703.9924,,,,2010-04-29
NIFTY200 MOMENTUM 30,,,2719.1472,,,,2010-04-30
NIFTY200 MOMENTUM 30,,,2698.3526,,,,2010-05-03
NIFTY200 MOMENTUM 30,,,2646.3512,,,,2010-05-04
NIFTY200 MOMENTUM 30,,,2655.4233,,,,2010-05-05
NIFTY200 MOMENTUM 30,,,2636.7151,,,,2010-05-06
NIFTY200 MOMENTUM 30,,,2580.6635,,,,2010-05-07
NIFTY200 MOMENTUM 30,,,2679.5888,,,,2010-05-10
NIFTY200 MOMENTUM 30,,,2643.6853,,,,2010-05-11
NIFTY200 MOMENTUM 30,,,2658.7009,,,,2010-05-12
NIFTY200 MOMENTUM 30,,,2685.3543,,,,2010-05-13
NIFTY200 MOMENTUM 30,,,2655.518,,,,2010-05-14
NIFTY200 MOMENTUM 30,,,2642.4217,,,,2010-05-17
NIFTY200 MOMENTUM 30,,,2632.103,,,,2010-05-18
NIFTY200 MOMENTUM 30,,,2548.5867,,,,2010-05-19
NIFTY200 MOMENTUM 30,,,2555.5943,,,,2010-05-20
NIFTY200 MOMENTUM 30,,,2536.9169,,,,2010-05-21
NIFTY200 MOMENTUM 30,,,2530.0007,,,,2010-05-24
NIFTY200 MOMENTUM 30,,,2452.1975,,,,2010-05-25
NIFTY200 MOMENTUM 30,,,2503.1377,,,,2010-05-26
NIFTY200 MOMENTUM 30,,,2517.274,,,,2010-05-27
NIFTY200 MOMENTUM 30,,,2576.6641,,,,2010-05-28
NIFTY200 MOMENTUM 30,,,2595.8921,,,,2010-05-31
NIFTY200 MOMENTUM 30,,,2541.8399,,,,2010-06-01
NIFTY200 MOMENTUM 30,,,2557.1318,,,,2010-06-02
NIFTY200 MOMENTUM 30,,,2593.3718,,,,2010-06-03
NIFTY200 MOMENTUM 30,,,2598.9643,,,,2010-06-04
NIFTY200 MOMENTUM 30,,,2556.5291,,,,2010-06-07
NIFTY200 MOMENTUM 30,,,2538.8645,,,,2010-06-08
NIFTY200 MOMENTUM 30,,,2552.5859,,,,2010-06-09
NIFTY200 MOMENTUM 30,,,2599.1664,,,,2010-06-10
NIFTY200 MOMENTUM 30,,,2614.3011,,,,2010-06-11
NIFTY200 MOMENTUM 30,,,2631.027,,,,2010-06-14
NIFTY200 MOMENTUM 30,,,2632.2477,,,,2010-06-15
NIFTY200 MOMENTUM 30,,,2643.822,,,,2010-06-16
NIFTY200 MOMENTUM 30,,,2665.8218,,,,2010-06-17
NIFTY200 MOMENTUM 30,,,2647.0518,,,,2010-06-18
NIFTY200 MOMENTUM 30,,,2696.6674,,,,2010-06-21
NIFTY200 MOMENTUM 30,,,2672.3245,,,,2010-06-22
NIFTY200 MOMENTUM 30,,,2679.3529,,,,2010-06-23
NIFTY200 MOMENTUM 30,,,2679.0524,,,,2010-06-24
NIFTY200 MOMENTUM 30,,,2647.8943,,,,2010-06-25
NIFTY200 MOMENTUM 30,,,2675.9689,,,,2010-06-28
NIFTY200 MOMENTUM 30,,,2646.8075,,,,2010-06-29
NIFTY200 MOMENTUM 30,,,2659.324,,,,2010-06-30
NIFTY200 MOMENTUM 30,,,2632.479,,,,2010-07-01
NIFTY200 MOMENTUM 30,,,2627.0787,,,,2010-07-02
NIFTY200 MOMENTUM 30,,,2634.9518,,,,2010-07-05
NIFTY200 MOMENTUM 30,,,2668.2492,,,,2010-07-06
NIFTY200 MOMENTUM 30,,,2650.3457,,,,2010-07-07
NIFTY200 MOMENTUM 30,,,2672.5102,,,,2010-07-08
NIFTY200 MOMENTUM 30,,,2695.7644,,,,2010-07-09
NIFTY200 MOMENTUM 30,,,2704.9613,,,,2010-07-12
NIFTY200 MOMENTUM 30,,,2713.0418,,,,2010-07-13
NIFTY200 MOMENTUM 30,,,2703.8231,,,,2010-07-14
NIFTY200 MOMENTUM 30,,,2709.4339,,,,2010-07-15
NIFTY200 MOMENTUM 30,,,2728.875,,,,2010-07-16
NIFTY200 MOMENTUM 30,,,2730.2711,,,,2010-07-19
NIFTY200 MOMENTUM 30,,,2718.1127,,,,2010-07-20
NIFTY200 MOMENTUM 30,,,2749.8803,,,,2010-07-21
NIFTY200 MOMENTUM 30,,,2775.2288,,,,2010-07-22
NIFTY200 MOMENTUM 30,,,2769.1937,,,,2010-07-23
NIFTY200 MOMENTUM 30,,,2761.8102,,,,2010-07-26
NIFTY200 MOMENTUM 30,,,2779.3546,,,,2010-07-27
NIFTY200 MOMENTUM 30,,,2797.7144,,,,2010-07-28
NIFTY200 MOMENTUM 30,,,2795.4895,,,,2010-07-29
NIFTY200 MOMENTUM 30,,,2784.4143,,,,2010-07-30
NIFTY200 MOMENTUM 30,,,2812.717,,,,2010-08-02
NIFTY200 MOMENTUM 30,,,2820.2864,,,,2010-08-03
NIFTY200 MOMENTUM 30,,,2829.2949,,,,2010-08-04
NIFTY200 MOMENTUM 30,,,2827.0991,,,,2010-08-05
NIFTY200 MOMENTUM 30,,,2829.506,,,,2010-08-06
NIFTY200 MOMENTUM 30,,,2858.4341,,,,2010-08-09
NIFTY200 MOMENTUM 30,,,2854.2447,,,,2010-08-10
NIFTY200 MOMENTUM 30,,,2838.086,,,,2010-08-11
NIFTY200 MOMENTUM 30,,,2843.3834,,,,2010-08-12
NIFTY200 MOMENTUM 30,,,2865.6474,,,,2010-08-13
NIFTY200 MOMENTUM 30,,,2860.5545,,,,2010-08-16
NIFTY200 MOMENTUM 30,,,2858.9272,,,,2010-08-17
NIFTY200 MOMENTUM 30,,,2900.1923,,,,2010-08-18
NIFTY200 MOMENTUM 30,,,2931.1915,,,,2010-08-19
NIFTY200 MOMENTUM 30,,,2933.8595,,,,2010-08-20
NIFTY200 MOMENTUM 30,,,2949.4693,,,,2010-08-23
NIFTY200 MOMENTUM 30,,,2936.957,,,,2010-08-24
NIFTY200 MOMENTUM 30,,,2905.9063,,,,2010-08-25
NIFTY200 MOMENTUM 30,,,2902.6803,,,,2010-08-26
NIFTY200 MOMENTUM 30,,,2876.8571,,,,2010-08-27
NIFTY200 MOMENTUM 30,,,2882.6279,,,,2010-08-30
NIFTY200 MOMENTUM 30,,,2889.8334,,,,2010-08-31
NIFTY200 MOMENTUM 30,,,2935.0858,,,,2010-09-01
NIFTY200 MOMENTUM 30,,,2940.0382,,,,2010-09-02
NIFTY200 MOMENTUM 30,,,2942.867,,,,2010-09-03
NIFTY200 MOMENTUM 30,,,2999.8705,,,,2010-09-06
NIFTY200 MOMENTUM 30,,,3001.4132,,,,2010-09-07
NIFTY200 MOMENTUM 30,,,2994.7578,,,,2010-09-08
NIFTY200 MOMENTUM 30,,,2996.4516,,,,2010-09-09
NIFTY200 MOMENTUM 30,,,3043.4891,,,,2010-09-13
NIFTY200 MOMENTUM 30,,,3052.3469,,,,2010-09-14
NIFTY200 MOMENTUM 30,,,3073.0934,,,,2010-09-15
NIFTY200 MOMENTUM 30,,,3038.0501,,,,2010-09-16
NIFTY200 MOMENTUM 30,,,3086.2832,,,,2010-09-17
NIFTY200 MOMENTUM 30,,,3110.8544,,,,2010-09-20
NIFTY200 MOMENTUM 30,,,3115.8741,,,,2010-09-21
NIFTY200 MOMENTUM 30,,,3099.444,,,,2010-09-22
NIFTY200 MOMENTUM 30,,,3102.8114,,,,2010-09-23
NIFTY200 MOMENTUM 30,,,3117.8686,,,,2010-09-24
NIFTY200 MOMENTUM 30,,,3140.4409,,,,2010-09-27
NIFTY200 MOMENTUM 30,,,3139.6981,,,,2010-09-28
NIFTY200 MOMENTUM 30,,,3131.3293,,,,2010-09-29
NIFTY200 MOMENTUM 30,,,3122.0829,,,,2010-09-30
NIFTY200 MOMENTUM 30,,,3170.323,,,,2010-10-01
NIFTY200 MOMENTUM 30,,,3190.6587,,,,2010-10-04
NIFTY200 MOMENTUM 30,,,3193.4316,,,,2010-10-05
NIFTY200 MOMENTUM 30,,,3218.6323,,,,2010-10-06
NIFTY200 MOMENTUM 30,,,3203.9327,,,,2010-10-07
NIFTY200 MOMENTUM 30,,,3186.3835,,,,2010-10-08
NIFTY200 MOMENTUM 30,,,3221.4458,,,,2010-10-11
NIFTY200 MOMENTUM 30,,,3198.2367,,,,2010-10-12
NIFTY200 MOMENTUM 30,,,3240.0903,,,,2010-10-13
NIFTY200 MOMENTUM 30,,,3229.3418,,,,2010-10-14
NIFTY200 MOMENTUM 30,,,3175.8784,,,,2010-10-15
NIFTY200 MOMENTUM 30,,,3177.2182,,,,2010-10-18
NIFTY200 MOMENTUM 30,,,3162.5642,,,,2010-10-19
NIFTY200 MOMENTUM 30,,,3153.5346,,,,2010-10-20
NIFTY200 MOMENTUM 30,,,3213.8742,,,,2010-10-21
NIFTY200 MOMENTUM 30,,,3217.3731,,,,2010-10-22
NIFTY200 MOMENTUM 30,,,3247.1366,,,,2010-10-25
NIFTY200 MOMENTUM 30,,,3262.6405,,,,2010-10-26
NIFTY200 MOMENTUM 30,,,3260.8501,,,,2010-10-27
NIFTY200 MOMENTUM 30,,,3250.2294,,,,2010-10-28
NIFTY200 MOMENTUM 30,,,3270.0636,,,,2010-10-29
NIFTY200 MOMENTUM 30,,,3328.0596,,,,2010-11-01
NIFTY200 MOMENTUM 30,,,3341.4305,,,,2010-11-02
NIFTY200 MOMENTUM 30,,,3355.2641,,,,2010-11-03
NIFTY200 MOMENTUM 30,,,3403.3068,,,,2010-11-04
NIFTY200 MOMENTUM 30,,,3417.9224,,,,2010-11-05
NIFTY200 MOMENTUM 30,,,3409.5779,,,,2010-11-08
NIFTY200 MOMENTUM 30,,,3420.236,,,,2010-11-09
NIFTY200 MOMENTUM 30,,,3423.0197,,,,2010-11-10
NIFTY200 MOMENTUM 30,,,3380.6733,,,,2010-11-11
NIFTY200 MOMENTUM 30,,,3318.3524,,,,2010-11-12
NIFTY200 MOMENTUM 30,,,3351.73,,,,2010-11-15
NIFTY200 MOMENTUM 30,,,3289.9175,,,,2010-11-16
NIFTY200 MOMENTUM 30,,,3300.218,,,,2010-11-18
NIFTY200 MOMENTUM 30,,,3244.5113,,,,2010-11-19
NIFTY200 MOMENTUM 30,,,3307.8396,,,,2010-11-22
NIFTY200 MOMENTUM 30,,,3286.1236,,,,2010-11-23
NIFTY200 MOMENTUM 30,,,3221.7096,,,,2010-11-24
NIFTY200 MOMENTUM 30,,,3144.1083,,,,2010-11-25
NIFTY200 MOMENTUM 30,,,3078.7687,,,,2010-11-26
NIFTY200 MOMENTUM 30,,,3122.0536,,,,2010-11-29
NIFTY200 MOMENTUM 30,,,3188.8965,,,,2010-11-30
NIFTY200 MOMENTUM 30,,,3253.6422,,,,2010-12-01
NIFTY200 MOMENTUM 30,,,3275.2844,,,,2010-12-02
NIFTY200 MOMENTUM 30,,,3250.1548,,,,2010-12-03
NIFTY200 MOMENTUM 30,,,3201.1356,,,,2010-12-06
NIFTY200 MOMENTUM 30,,,3150.4746,,,,2010-12-07
NIFTY200 MOMENTUM 30,,,3087.1806,,,,2010-12-08
NIFTY200 MOMENTUM 30,,,2994.8052,,,,2010-12-09
NIFTY200 MOMENTUM 30,,,3031.0393,,,,2010-12-10
NIFTY200 MOMENTUM 30,,,3066.822,,,,2010-12-13
NIFTY200 MOMENTUM 30,,,3105.1787,,,,2010-12-14
NIFTY200 MOMENTUM 30,,,3049.0579,,,,2010-12-15
NIFTY200 MOMENTUM 30,,,3063.003,,,,2010-12-16
NIFTY200 MOMENTUM 30,,,3036.7362,,,,2010-12-20
NIFTY200 MOMENTUM 30,,,3053.6778,,,,2010-12-21
NIFTY200 MOMENTUM 30,,,3060.0597,,,,2010-12-22
NIFTY200 MOMENTUM 30,,,3054.4094,,,,2010-12-23
NIFTY200 MOMENTUM 30,,,3053.7401,,,,2010-12-24
NIFTY200 MOMENTUM 30,,,3043.6429,,,,2010-12-27
NIFTY200 MOMENTUM 30,,,3035.654,,,,2010-12-28
NIFTY200 MOMENTUM 30,,,3067.818,,,,2010-12-29
NIFTY200 MOMENTUM 30,,,3074.7012,,,,2010-12-30
NIFTY200 MOMENTUM 30,,,3113.0048,,,,2010-12-31
NIFTY200 MOMENTUM 30,,,3123.6032,,,,2011-01-03
NIFTY200 MOMENTUM 30,,,3093.4617,,,,2011-01-04
NIFTY200 MOMENTUM 30,,,3060.3949,,,,2011-01-05
NIFTY200 MOMENTUM 30,,,3026.5595,,,,2011-01-06
